,total_score,Fans (Millions),fans
NE,4642.0,7.07,7.07
NO,4547.0,4.02,4.02
GB,4199.0,5.3,5.3
PHI,3955.0,3.25,3.25
ATL,3909.0,2.0,2.0
LAC,3866.0,1.54,1.54
PIT,3857.0,6.38,6.38
DEN,3793.0,4.25,4.25
DAL,3731.0,8.58,8.58
IND,3684.0,2.19,2.19
SEA,3639.0,3.93,3.93
BAL,3627.0,2.27,2.27
DET,3601.0,1.87,1.87
MIN,3560.0,2.16,2.16
KC,3554.0,1.62,1.62
CAR,3541.0,2.33,2.33
NYG,3527.0,3.86,3.86
CIN,3515.0,1.15,1.15
HOU,3514.0,2.18,2.18
CHI,3403.0,4.0,4.0
SF,3303.0,4.05,4.05
WAS,3293.0,1.92,1.92
ARI,3288.0,1.45,1.45
TEN,3269.0,0.95,0.95
BUF,3246.0,0.89,0.89
NYJ,3188.0,1.88,1.88
MIA,3176.0,2.26,2.26
TB,3170.0,0.94,0.94
OAK,3158.0,3.37,3.37
LA,3062.0,0.86,0.86
JAX,2975.0,0.63,0.63
CLE,2724.0,1.31,1.31
